ID,SFR,2MASS_ID,NAME,PI,EPI,FL_PI,DPC,EDPC_H,EDPC_L,FL_MULT,SEP,SED,SPT,REF_SPT,FL_Teff,logTeff,elogTeff,REF_Teff,logLs_in,d_in,elogLs_in,FL_logLs,logLs,elogLs_H,elogLs_L,REF_Ls,FL_logMs,logMs,elogMs_H,elogMs_L,FL_logt,logt,elogt_H,elogt_L,nu_B7,FL_B7,F_B7,eF_B7,LIM_B7,REF_B7,nu_B6,FL_B6,F_B6,eF_B6,LIM_B6,REF_B6,nu_B3,FL_B3,F_B3,eF_B3,LIM_B3,REF_B3,FL_A67,A67,eA67_hi,eA67_lo,LIM_A67,FL_A36,A36,eA36_hi,eA36_lo,LIM_A36,FL_R7,R7,eR7_hi,eR7_lo,LIM_R7,REF_R7,FL_R6,R6,eR6_hi,eR6_lo,LIM_R6,REF_R6,FL_Mgas,Mgas,FL_RCO,R_CO,eR_CO
14,Tau,J04144928+2812305,FO_Tau_A,6.37,0.38,GaiaDR2,155.9,12.0,7.7,B,0,II,M3.5,Hartigan03,0,3.524,0.019,Andrews13,-0.353,140.0,0.080,0,-0.260,0.107,0.086,Andrews13,0,-0.594,0.084,0.094,0,5.22,0.56,0.24,0.0,-1,0.00,0.00,0.00,none,239.9,0,3.07,0.19,0.00,Akeson19,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
15,Tau,J04144928+2812305,FO_Tau_B,6.37,0.38,GaiaDR2,157.6,10.3,9.3,B,0,II,M3.5,Hartigan03,0,3.524,0.019,Andrews13,-0.495,140.0,0.129,0,-0.393,0.141,0.138,Andrews13,0,-0.633,0.134,0.083,0,5.87,0.12,0.73,0.0,-1,0.00,0.00,0.00,none,239.9,0,2.94,0.19,0.00,Akeson19,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
16,Tau,J04153916+2818586,J04153916,7.61,0.08,GaiaDR2,131.0,2.3,2.1,S,-1,II,M3.75,Luhman10,0,3.519,0.019,Andrews13,-0.494,140.0,0.071,0,-0.552,0.073,0.072,Andrews13,0,-0.694,0.179,0.074,0,5.97,0.13,0.66,345.0,1,14.80,7.40,37.00,Buckle15,225.4,0,13.40,1.40,0.00,Andrews13,0.0,-1,0.00,0.00,0.00,none,2,-1.00,0.00,0.00,2.39,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
17,Tau,J04154278+2909597,IRAS_04125+2902,6.25,0.07,GaiaDR2,158.8,3.7,2.5,S,-1,TD,M1.25,Luhman10,0,3.565,0.017,Andrews13,-0.500,140.0,0.055,0,-0.388,0.058,0.056,Andrews13,0,-0.326,0.093,0.113,0,6.18,0.24,0.18,340.9,0,42.00,0.10,0.00,Tripathi17,225.4,0,19.50,0.75,0.00,Andrews13,0.0,-1,0.00,0.00,0.00,none,0,1.85,0.36,0.35,0.00,-1,0.00,0.00,0.00,0.00,0,1.76,0.06,0.02,1.87,Tripathi17,,,,,,,,,,,
18,Tau,J04155799+2746175,J04155799,7.37,0.11,GaiaDR2,135.1,3.0,2.4,S,-1,II,M5.5,Luhman10,0,3.485,0.020,Andrews13,-1.096,140.0,0.097,0,-1.129,0.102,0.096,Andrews13,0,-0.950,0.234,0.051,0,6.30,0.22,0.40,0.0,-1,0.00,0.00,0.00,none,225.4,0,12.60,1.40,0.00,Andrews13,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
19,Tau,J04161210+2756385,J04161210,7.27,0.12,GaiaDR2,136.7,3.4,2.5,S,-1,II,M4.75,Luhman10,0,3.500,0.020,Andrews13,-1.084,140.0,0.097,0,-1.107,0.104,0.095,Andrews13,0,-0.936,0.339,0.000,0,6.34,0.36,0.36,338.7,0,5.71,0.17,0.00,Ward-Duong18,225.4,1,-1.00,-1.00,4.20,Andrews13,0.0,-1,0.00,0.00,0.00,none,1,-1.00,0.00,0.00,0.75,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
20,Tau,J04163911+2858491,J04163911,6.25,0.54,GaiaDR2,159.2,18.4,10.7,S,-1,II,M5.5,Luhman10,0,3.485,0.020,Andrews13,-1.258,140.0,0.077,0,-1.131,0.112,0.109,Andrews13,0,-0.943,0.227,0.062,0,6.30,0.22,0.39,0.0,-1,0.00,0.00,0.00,none,225.4,1,-1.00,-1.00,2.50,Andrews13,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
21,Tau,J04173372+2820468,CY_Tau,7.76,0.04,GaiaDR2,128.4,1.9,1.6,S,-1,II,M1.5,Luhman10,0,3.560,0.017,Andrews13,-0.398,140.0,0.090,0,-0.470,0.088,0.093,Andrews13,0,-0.355,0.104,0.114,0,6.27,0.27,0.24,337.1,0,207.00,1.20,0.00,Tripathi17,230.0,0,119.00,13.50,0.00,Perez15,107.0,0,26.10,2.90,0.00,Perez15,9,1.45,0.49,0.46,0.00,0,1.98,0.28,0.28,0.00,0,1.83,0.09,0.04,2.00,Tripathi17,0,1.600,0.200,0.200,0,me,,,0,2.20,0.30
22,Tau,J04174955+2813318,KPNO_10,7.28,0.12,GaiaDR2,136.6,3.3,2.5,S,-1,II,M5,Luhman10,0,3.495,0.020,Andrews13,-1.129,140.0,0.081,0,-1.145,0.080,0.087,Andrews13,0,-0.944,0.312,0.031,0,6.36,0.33,0.32,345.0,0,20.00,4.03,0.00,Buckle15,225.4,0,7.80,1.40,0.00,Andrews13,0.0,-1,0.00,0.00,0.00,none,0,2.21,0.72,0.74,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
23,Tau,J04174965+2829362,V410_X-ray_1,7.75,0.08,GaiaDR2,128.5,2.3,1.9,S,-1,II,M4,Luhman10,0,3.515,0.019,Andrews13,-0.351,140.0,0.066,0,-0.427,0.069,0.065,Andrews13,0,-0.656,0.094,0.105,0,5.88,0.02,0.81,345.0,1,-1.00,-1.00,9.00,Andrews05,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
24,Tau,J04181078+2519574,V409_Tau,7.61,0.04,GaiaDR2,130.6,2.2,1.5,S,-1,II,M1.5,Luhman10,0,3.560,0.017,Andrews13,-0.592,140.0,0.084,0,-0.653,0.089,0.082,Andrews13,0,-0.348,0.124,0.093,0,6.55,0.27,0.24,0.0,-1,0.00,0.00,0.00,none,225.4,0,18.70,1.40,0.00,Andrews13,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,0,1.494,0.150,0.150,0,Long19,,,,,
25,Tau,J04181710+2828419,V410_Anon_13,8.04,0.33,GaiaDR2,124.0,6.0,4.8,S,-1,II,M5.75,Luhman10,0,3.481,0.020,Andrews13,-0.987,140.0,0.085,0,-1.089,0.093,0.093,Andrews13,0,-0.936,0.197,0.052,0,6.28,0.15,0.43,338.7,0,1.35,0.16,0.00,Ward-Duong18,230.6,1,-1.00,-1.00,9.00,Schaefer09,111.0,1,-1.00,-1.00,6.90,Schaefer09,1,-1.00,0.00,0.00,-4.93,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
26,Tau,J04183112+2816290,DD_Tau_AB,8.12,0.19,GaiaDR2,122.8,3.5,3.0,J,0.57,II,,,0,,,,,,,0,-0.316,0.155,0.154,Andrews13,0,-0.284,0.085,0.117,0,6.05,0.26,0.44,340.8,0,33.00,3.00,0.00,Harris12,239.0,0,17.00,4.00,0.00,Osterloh95,111.0,0,4.50,1.30,0.00,Dutrey96,0,1.87,0.90,0.77,0.00,0,1.73,0.56,0.52,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
27,Tau,J04183112+2816290,DD_Tau_A,8.12,0.19,GaiaDR2,122.7,3.6,2.9,B,0,II,M3.5,Hartigan03,0,3.524,0.019,Andrews13,-0.478,140.0,0.216,0,-0.596,0.222,0.213,Andrews13,0,-0.649,0.177,0.094,0,6.04,0.32,0.69,340.8,0,24.00,3.00,0.00,Harris12,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
28,Tau,J04183112+2816290,DD_Tau_B,8.12,0.19,GaiaDR2,122.8,3.5,3.0,B,0,II,M3.5,Hartigan03,0,3.524,0.019,Andrews13,-0.583,140.0,0.204,0,-0.669,0.177,0.233,Andrews13,0,-0.657,0.194,0.102,0,6.17,0.34,0.64,340.8,0,9.00,3.00,0.00,Harris12,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
29,Tau,J04183158+2816585,CZ_Tau_AB,8.05,0.31,avg,124.1,5.4,4.7,J,0.317,II,,,0,,,,,,,0,-0.681,0.143,0.113,Andrews13,0,-0.326,0.179,0.126,0,6.47,0.43,0.26,345.0,1,-1.00,-1.00,9.00,Andrews05,239.9,0,0.62,0.12,0.00,Akeson19,111.0,1,-1.00,-1.00,4.00,Dutrey96,2,-1.00,0.00,0.00,7.36,1,-1.00,0.00,0.00,-2.42,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
30,Tau,J04183158+2816585,CZ_Tau_A,8.05,0.31,avg,124.2,5.3,4.8,B,0,II,M3,Luhman10,0,3.533,0.018,Andrews13,-0.730,140.0,0.118,0,-0.841,0.131,0.116,Andrews13,0,-0.481,0.092,0.184,0,6.42,0.36,0.26,0.0,-1,0.00,0.00,0.00,none,239.9,1,-1.00,-1.00,0.62,Akeson19,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
31,Tau,J04183158+2816585,CZ_Tau_B,8.05,0.31,avg,124.2,5.2,4.8,B,0,II,M6,Luhman10,0,3.476,0.086,Andrews13,-1.135,140.0,0.302,0,-1.262,0.330,0.280,Andrews13,0,-0.923,0.495,0.192,0,6.47,0.81,0.45,0.0,-1,0.00,0.00,0.00,none,239.9,0,0.62,0.12,0.00,Akeson19,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
32,Tau,J04183444+2830302,V410_X-ray_2,7.61,0.37,avg,131.4,7.2,6.0,S,-1,II,M0,Luhman10,0,3.586,0.024,Andrews13,0.430,140.0,0.077,0,0.377,0.089,0.089,Andrews13,0,-0.317,0.088,0.066,0,5.01,0.51,0.12,340.9,0,26.00,1.00,0.00,Tripathi17,225.4,0,15.00,1.00,0.00,D_Powell,0.0,-1,0.00,0.00,0.00,none,9,1.33,0.39,0.39,0.00,-1,0.00,0.00,0.00,0.00,0,1.58,0.28,0.13,2.12,Tripathi17,,,,,,,,,,,
33,Tau,J04184061+2819155,V892_Tau_AB,8.52,0.12,GaiaDR2,117.0,2.3,2.0,CB,0.06,II,,,0,,,,,,,0,2.406,0.594,0.413,Andrews13,0,0.823,0.114,0.083,0,7.15,0.33,0.62,345.0,0,638.00,54.00,0.00,Mannings94,225.4,0,251.00,10.00,0.00,Hamidouche10,102.5,0,54.90,1.00,0.00,Ricci12,0,2.19,0.39,0.41,0.00,0,1.93,0.19,0.19,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
,Tau,J04184061+2819155,V892_Tau_A,8.52,0.12,GaiaDR2,117.2,2.0,2.3,B,0,II,B8,Hernandez04,0,4.076,0.128,Andrews13,2.171,140.0,0.653,0,1.986,0.685,0.630,Andrews13,0,0.516,0.147,0.126,0,7.52,0.16,1.17,,-1,,,,,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
,Tau,J04184061+2819155,V892_Tau_B,8.52,0.12,GaiaDR2,117.1,2.2,2.2,B,0,II,B8,Hernandez04,0,4.076,0.128,Andrews13,2.171,140.0,0.653,0,1.977,0.693,0.616,Andrews13,0,0.490,0.169,0.095,0,7.71,0.00,1.34,,-1,,,,,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
34,Tau,J04184133+2827250,LR_1,7.63,0.32,avg,130.4,6.6,4.9,S,-1,II,K4.5,Luhman10,0,3.650,0.019,Andrews13,0.406,140.0,0.135,0,0.354,0.136,0.144,Andrews13,0,0.011,0.083,0.115,0,5.91,0.32,0.25,0.0,-1,0.00,0.00,0.00,none,225.4,0,30.80,1.60,0.00,Andrews13,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
35,Tau,J04184250+2818498,V410_X-ray_7_AB,7.97,0.26,GaiaDR2,125.0,4.9,3.9,CB,0.032,II,,,0,,,,,,,0,-0.205,0.107,0.107,Andrews13,0,-0.053,0.093,0.155,0,6.30,0.27,0.44,345.0,0,12.50,3.27,0.00,Buckle15,225.4,1,-1.00,-1.00,13.00,Harris12,0.0,-1,0.00,0.00,0.00,none,1,-1.00,0.00,0.00,-0.09,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
,Tau,J04184250+2818498,V410_X-ray_7_A,7.97,0.26,GaiaDR2,125.2,4.7,4.1,B,0,II,M0.75,Luhman10,0,3.573,0.023,Andrews13,-0.326,140.0,0.133,0,-0.429,0.144,0.130,Andrews13,0,-0.285,0.125,0.156,0,6.33,0.37,0.35,,-1,,,,,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
,Tau,J04184250+2818498,V410_X-ray_7_B,7.97,0.26,GaiaDR2,125.3,4.7,4.1,B,0,II,M2.75,Andrews13,0,3.538,0.037,Andrews13,-0.549,140.0,0.164,0,-0.645,0.168,0.165,Andrews13,0,-0.705,0.421,0.072,0,6.15,0.56,0.70,,-1,,,,,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
36,Tau,J04190110+2819420,V410_X-ray_6,8.38,0.15,GaiaDR2,119.0,2.7,2.4,S,-1,II,M5.5,Luhman10,0,3.485,0.020,Andrews13,-0.454,140.0,0.050,0,-0.597,0.055,0.051,Andrews13,0,-0.709,0.087,0.022,0,5.75,0.27,0.00,338.7,1,-1.00,-1.00,0.27,Ward-Duong18,225.4,1,-1.00,-1.00,2.10,Andrews13,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
37,Tau,J04190126+2802487,KPNO_12,7.52,0.83,avg,134.3,19.2,12.4,S,-1,II,M9,Luhman10,0,3.380,0.056,Andrews13,-2.973,140.0,0.238,9,-2.600,0.251,0.267,Andrews13,0,-1.730,0.387,0.132,0,7.19,0.20,1.09,345.0,1,2.96,8.77,29.27,Buckle15,225.4,1,-1.00,-1.00,2.10,Scholz06,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
38,Tau,J04191281+2829330,FQ_Tau_AB,7.27,0.80,avg,138.3,20.5,12.3,J,0.78,II,,,0,,,,,,,0,-0.678,0.134,0.113,Andrews13,0,-0.229,0.083,0.115,0,6.62,0.26,0.29,340.2,0,9.66,0.48,0.00,Akeson14,223.6,0,5.80,0.21,0.00,Akeson14,0.0,-1,0.00,0.00,0.00,none,9,1.22,0.37,0.37,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
39,Tau,J04191281+2829330,FQ_Tau_A,7.27,0.80,avg,135.7,23.1,9.6,B,0,II,M3,Hartigan03,0,3.533,0.018,Andrews13,-1.068,140.0,0.134,0,-1.056,0.166,0.170,Andrews13,0,-0.506,0.116,0.148,0,6.77,0.38,0.35,340.2,0,5.42,0.48,0.00,Akeson14,223.6,0,3.10,0.21,0.00,Akeson14,0.0,-1,0.00,0.00,0.00,none,9,1.33,0.43,0.44,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
